Date,Prices,Log price,Log Return,Hypothetical Portfolio Loss,EWMA Means
6/14/2013,1626.73,7.394327144,-0.005902398,0.005885013,-0.000552549
6/17/2013,1639.04,7.401865984,0.00753884,-0.007567328,-0.000762993
6/18/2013,1651.81,7.409626935,0.007760952,-0.007791146,-0.000973837
6/19/2013,1628.93,7.395678637,-0.013948299,0.013851472,-0.000529078
6/20/2013,1588.19,7.370350282,-0.025328355,0.025010283,0.000237103
6/21/2013,1592.43,7.37301643,0.002666148,-0.002669706,0.000149899
6/24/2013,1573.09,7.360797117,-0.012219314,0.012144961,0.00050975
6/25/2013,1588.03,7.370249533,0.009452416,-0.009497232,0.000209541
6/26/2013,1603.26,7.379794335,0.009544802,-0.009590499,-8.44602E-05
6/27/2013,1613.2,7.385975063,0.006180728,-0.006199868,-0.000267922
6/28/2013,1606.28,7.381676226,-0.004298837,0.004289611,-0.000131196
7/1/2013,1614.96,7.387065468,0.005389242,-0.00540379,-0.000289374
7/2/2013,1614.08,7.386520414,-0.000545054,0.000544905,-0.000264346
7/3/2013,1615.41,7.387344073,0.00082366,-0.000823999,-0.000281135
7/5/2013,1631.89,7.397494131,0.010150058,-0.010201744,-0.000578754
7/8/2013,1640.46,7.402731969,0.005237838,-0.005251579,-0.000718938
7/9/2013,1652.32,7.40993564,0.007203671,-0.007229679,-0.000914261
7/10/2013,1652.62,7.410117186,0.000181546,-0.000181563,-0.00089228
7/11/2013,1675.02,7.423580384,0.013463198,-0.013554235,-0.001272138
7/12/2013,1680.19,7.426662161,0.003081777,-0.00308653,-0.00132657
7/15/2013,1682.5,7.428036062,0.0013739,-0.001374845,-0.001328018
7/16/2013,1676.26,7.4243204,-0.003715661,0.003708767,-0.001176915
7/17/2013,1680.91,7.427090592,0.002770192,-0.002774033,-0.001224828
7/18/2013,1689.37,7.432110957,0.005020365,-0.005032988,-0.001339073
7/19/2013,1692.09,7.43371973,0.001608773,-0.001610068,-0.001347203
7/22/2013,1695.53,7.435750655,0.002030925,-0.002032989,-0.001367777
7/23/2013,1692.39,7.43389701,-0.001853645,0.001851928,-0.001271185
7/24/2013,1685.94,7.430078551,-0.003818459,0.003811178,-0.001118715
7/25/2013,1690.25,7.432631726,0.002553175,-0.002556437,-0.001161846
7/26/2013,1691.65,7.433459663,0.000827937,-0.00082828,-0.001151839
7/29/2013,1685.33,7.429716669,-0.003742994,0.003735997,-0.001005204
7/30/2013,1685.96,7.430090413,0.000373744,-0.000373814,-0.000986262
7/31/2013,1685.73,7.429953983,-0.00013643,0.000136421,-0.000952582
8/1/2013,1706.87,7.442416563,0.01246258,-0.012540561,-0.001300221
8/2/2013,1709.67,7.444055648,0.001639086,-0.00164043,-0.001310428
8/5/2013,1707.14,7.442574735,-0.001480914,0.001479818,-0.00122672
8/6/2013,1697.37,7.436835273,-0.005739461,0.005723022,-0.001018228
8/7/2013,1690.91,7.433022125,-0.003813149,0.003805888,-0.000873504
8/8/2013,1697.48,7.436900077,0.003877953,-0.003885482,-0.000963864
8/9/2013,1691.42,7.433323692,-0.003576386,0.003569998,-0.000827848
8/12/2013,1689.47,7.432170149,-0.001153543,0.001152877,-0.000768426
8/13/2013,1694.16,7.434942322,0.002772172,-0.002776019,-0.000828654
8/14/2013,1685.39,7.42975227,-0.005190052,0.005176607,-0.000648496
8/15/2013,1661.32,7.415367746,-0.014384524,0.014281561,-0.000200594
8/16/2013,1655.83,7.412057673,-0.003310073,0.003304601,-9.54386E-05
8/19/2013,1646.06,7.406139833,-0.00591784,0.005900364,8.44355E-05
8/20/2013,1652.35,7.409953796,0.003813963,-0.003821246,-3.27349E-05
8/21/2013,1642.8,7.404157382,-0.005796414,0.005779647,0.000141637
8/22/2013,1656.96,7.412739877,0.008582495,-0.00861943,-0.000121195
8/23/2013,1663.5,7.416679095,0.003939218,-0.003946987,-0.000235969
8/26/2013,1656.78,7.412631239,-0.004047857,0.004039675,-0.0001077
8/27/2013,1630.48,7.396629729,-0.01600151,0.015874166,0.000371756
8/28/2013,1634.96,7.399373618,0.002743889,-0.002747657,0.000278174
8/29/2013,1638.17,7.401335044,0.001961426,-0.001963351,0.000210928
8/30/2013,1632.97,7.398155722,-0.003179322,0.003174274,0.000299828
9/3/2013,1639.77,7.402311267,0.004155545,-0.004164192,0.000165908
9/4/2013,1653.08,7.410395494,0.008084226,-0.008116992,-8.25793E-05
9/5/2013,1655.08,7.411604625,0.001209132,-0.001209863,-0.000116398
9/6/2013,1655.17,7.411659002,5.44E-05,-5.44E-05,-0.000114538
9/9/2013,1671.71,7.421602334,0.009943332,-0.009992931,-0.00041089
9/10/2013,1683.99,7.428921257,0.007318923,-0.007345772,-0.000618936
9/11/2013,1689.13,7.431968882,0.003047626,-0.003052275,-0.000691936
9/12/2013,1683.42,7.428582717,-0.003386165,0.003380438,-0.000569765
9/13/2013,1687.99,7.431293751,0.002711034,-0.002714712,-0.000634113
9/16/2013,1697.6,7.436970768,0.005677017,-0.005693162,-0.000785885
9/17/2013,1704.76,7.441179617,0.004208849,-0.004217719,-0.00088884
9/18/2013,1725.52,7.453283733,0.012104116,-0.012177667,-0.001227505
9/19/2013,1722.34,7.45143911,-0.001844623,0.001842923,-0.001135392
9/20/2013,1709.91,7.444196017,-0.007243094,0.007216926,-0.000884822
9/23/2013,1701.84,7.439465298,-0.004730719,0.004719547,-0.000716691
9/24/2013,1697.42,7.43686473,-0.002600567,0.002597189,-0.000617275
